Ação;Data Entrada;Valor Entrada;Quantidade;Investimento Total; Juros sobre capital ; Dividendos ; Rendimentos ;Indicação;Ação Vendida;Valor Venda;Data Venda
JHSF3.SA;2019-02-14;2.03;200;406;0;23.28;0;;0;;
ITUB4.SA;2019-02-26;36.2;66;2389.2;0;57.88;0;;0;;
USIM5.SA;2019-03-27;10.09;89;898.01;0.85;6.13;0;;0;;
VALE3.SA;2019-04-16;50.81;31;1575.11;0;0;0;;0;;
BBSE3.SA;2019-05-02;28.58;98;2800.84;0;87.29;1.43;;1;37.70;2019-12-18
MOVI3.SA;2019-05-02;12.19;100;1219;12.96;0;0;;0;;
RENT3.SA;2019-05-08;34.25;29;993.16;2.5;0;0;;0;;
MULT3.SA;2019-05-09;24.35;13;316.55;0;0;0;;0;;
TAEE11.SA;2019-05-09;26.26;14;367.64;5.06;8.09;0;;0;;
ENGI11.SA;2019-06-06;44.52;3;133.56;0;0.84;0;;1;59.55;2020-02-05
SULA11.SA;2019-06-06;34.16;5;170.8;0;0;0;;0;;
BRAP4.SA;2019-06-27;32.53;6;195.18;0;0;0;;0;;
BRAP4.SA;2019-07-04;32.67;12;392.04;0;0;0;;0;;
CRFB3.SA;2019-07-08;22.54;15;338.1;0;0;0;;0;;
EMBR3.SA;2019-07-08;19.44;28;544.32;0;0;0;;0;;
VALE3.SA;2019-07-11;52.28;7;365.96;0;0;0;;0;;
VALE3.SA;2019-07-11;52.17;7;365.19;0;0;0;;0;;
USIM5.SA;2019-07-16;9.54;40;381.6;0;0;0;;0;;
MYPK3.SA;2019-07-18;21.92;6;131.52;0;0;0;;0;;
PCAR3.SA;2019-07-26;91.65;4;366.6;0;0;0;;0;;
HAPV3.SA;2019-08-01;41.98;4;167.92;0;0;0;;0;;
PCAR3.SA;2019-08-01;94.34;2;188.68;0;0;0;;0;;
HYPE3.SA;2019-08-02;31.48;10;314.8;0;0;0;;0;;
CPFE3.SA;2019-08-12;33.24;4;132.96;0;0;0;;1;38.1;2020-01-24
CSMG3.SA;2019-08-12;70.7;3;212.1;0;0;0;;0;;
DTEX3.SA;2019-08-12;13.21;11;145.31;0;0;0;;0;;
ECOR3.SA;2019-08-12;11.54;14;161.56;0;0;0;;0;;
HGTX3.SA;2019-08-12;34.38;4;137.52;0;0;0;;1;35;2020-01-03
GUAR3.SA;2019-08-19;20.88;18;375.84;0;0;0;;0;;
BRDT3.SA;2019-08-26;27.47;6;164.82;0;0;0;;0;;
ELET3.SA;2019-08-26;44.37;3;133.11;0;0;0;;0;;
MRFG3.SA;2019-08-26;7.78;20;155.6;0;0;0;;1;11.58;2020-01-15
PARD3.SA;2019-08-26;22.42;10;224.2;0;0;0;;0;;
CRFB3.SA;2019-09-02;22.5;5;112.5;0;0;0;;0;;
CSNA3.SA;2019-09-02;14.39;26;374.14;0;0;0;;1;15.45;2020-01-23
ELET3.SA;2019-09-02;46.05;3;138.15;0;0;0;;0;;
GUAR3.SA;2019-09-02;21.1;28;590.8;0;0;0;;0;;
HGTX3.SA;2019-09-02;32.59;17;554.03;0;0;0;;1;35;2020-01-03
IGTA3.SA;2019-09-02;46.16;15;692.4;0;0;0;;0;;
SAPR11.SA;2019-09-02;29.36;21;616.56;0;0;0;;0;;
BBAS3.SA;2019-09-09;50.19;10;501.9;0;0;0;;0;;
OIBR3.SA;2019-09-11;1.25;11;13.75;0;0;0;;1;24.2;2020-07-29
CIEL3.SA;2019-09-23;8.53;5;42.65;0;0;0;;0;;
GRND3.SA;2019-09-23;8.47;13;110.11;0;0;0;;0;;
IRBR3.SA;2019-09-23;37.23;6;223.4;0;0;0;Dalton;1;41.99;2020-01-13
NTCO3.SA;2019-09-23;35.35;2;70.7;0;0;0;;0;;
PRIO3.SA;2019-09-23;18.44;6;110.64;0;0;0;;0;;
TOTS3.SA;2019-09-23;18.99;12;227.92;0;0;0;;0;;
VLID3.SA;2019-09-23;13.62;2;27.24;0;0;0;;0;;
SUZB3.SA;2019-09-24;32.88;8;263.04;0;0;0;;0;;
ABEV3.SA;2019-09-26;19.55;11;215.05;0;0;0;;0;;
CYRE3.SA;2019-09-27;23.46;9;211.14;0;0;0;;0;;
BRKM5.SA;2019-09-30;32.41;3;97.23;0;0;0;RendeAI;1;37.95;2020-01-24
LINX3.SA;2019-09-30;32.88;5;164.4;0;0;0;;0;;
OMGE3.SA;2019-09-30;32.08;7;224.56;0;0;0;RendeAI;0;;
JBSS3.SA;2019-10-02;31.53;5;157.65;0;0;0;RendeAI;0;;
BRPR3.SA;2019-10-07;11.7;15;175.5;0;0;0;Dalton;0;;
MGLU3.SA;2019-10-07;39.5;5;197.5;0;0;0;Dalton;1;52.03;2020-01-09
RADL3.SA;2019-10-07;101.94;2;203.88;0;0;0;RendeAI;1;123.04;2020-01-24
