Ação;Data Entrada;Valor Entrada;Quantidade;Investimento Total;Ação Vendida;Ação na carteira;Valor_Atualizado;Investimento_Atualizado;LucroPreju;Percentual_Lucro_Ou_Preju
JHSF3.SA;2019-02-14;2.03;200;406.0;0;True;7.61;1522.0;1116.0;274.88
JHSF3.SA;2020-01-27;8.51;56;476.56;0;True;7.61;426.16;-50.4;-10.58
JHSF3.SA;2020-04-03;2.93;200;586.0;0;True;7.61;1522.0;936.0;159.73
JHSF3.SA;2021-03-16;6.66;20;133.2;0;True;7.61;152.2;19.0;14.26
ITUB4.SA;2019-02-26;36.2;66;2389.2;0;True;29.29;1933.14;-456.06;-19.09
USIM5.SA;2019-03-27;10.09;89;898.01;0;True;20.28;1804.92;906.91;100.99
USIM5.SA;2019-07-16;9.54;40;381.6;0;True;20.28;811.2;429.6;112.58
VALE3.SA;2019-04-16;50.81;31;1575.11;0;True;111.11;3444.41;1869.3;118.68
VALE3.SA;2019-07-11;52.17;7;365.19;0;True;111.11;777.77;412.58;112.98
VALE3.SA;2019-07-11;52.28;7;365.96;0;True;111.11;777.77;411.81;112.53
MOVI3.SA;2019-05-02;12.19;100;1219.0;0;True;17.78;1778.0;559.0;45.86
MOVI3.SA;2020-04-03;7.41;50;370.5;0;True;17.78;889.0;518.5;139.95
RENT3.SA;2019-05-08;34.25;29;993.16;0;True;62.47;1811.63;818.47;82.41
TAEE11.SA;2019-05-09;26.26;14;367.64;0;True;39.38;551.32;183.68;49.96
TAEE11.SA;2020-04-20;26.74;50;1337.0;0;True;39.38;1969.0;632.0;47.27
MULT3.SA;2019-05-09;24.35;13;316.55;0;True;25.11;326.43;9.88;3.12
SULA11.SA;2019-06-06;34.16;5;170.8;0;True;32.02;160.1;-10.7;-6.26
SULA11.SA;2020-03-16;31.7;5;158.5;0;True;32.02;160.1;1.6;1.01
BRAP4.SA;2019-06-27;32.53;6;195.18;0;True;70.62;423.72;228.54;117.09
BRAP4.SA;2019-07-04;32.67;12;392.04;0;True;70.62;847.44;455.4;116.16
BRAP4.SA;2020-01-30;37.78;10;377.8;0;True;70.62;706.2;328.4;86.92
EMBR3.SA;2019-07-08;19.44;28;544.32;0;True;16.15;452.2;-92.12;-16.92
EMBR3.SA;2020-05-04;7.73;15;115.95;0;True;16.15;242.25;126.3;108.93
CRFB3.SA;2019-07-08;22.54;15;338.1;0;True;20.68;310.2;-27.9;-8.25
CRFB3.SA;2019-09-02;22.5;5;112.5;0;True;20.68;103.4;-9.1;-8.09
MYPK3.SA;2019-07-18;21.92;6;131.52;0;True;17.17;103.02;-28.5;-21.67
PCAR3.SA;2019-07-26;91.65;4;366.6;0;True;35.14;140.56;-226.04;-61.66
PCAR3.SA;2019-08-01;94.34;2;188.68;0;True;35.14;70.28;-118.4;-62.75
HAPV3.SA;2019-08-01;41.98;4;167.92;0;True;14.91;59.64;-108.28;-64.48
HYPE3.SA;2019-08-02;31.48;10;314.8;0;True;35.39;353.9;39.1;12.42
ECOR3.SA;2019-08-12;11.54;14;161.56;0;True;12.42;173.88;12.32;7.63
DTEX3.SA;2019-08-12;13.21;11;145.31;0;True;21.17;232.87;87.56;60.26
CSMG3.SA;2019-08-12;70.7;3;212.1;0;True;17.5;52.5;-159.6;-75.25
GUAR3.SA;2019-08-19;20.88;18;375.84;0;True;19.29;347.22;-28.62;-7.61
GUAR3.SA;2019-09-02;21.1;28;590.8;0;True;19.29;540.12;-50.68;-8.58
GUAR3.SA;2020-04-03;9.73;30;291.9;0;True;19.29;578.7;286.8;98.25
BRDT3.SA;2019-08-26;27.47;6;164.82;0;True;25.35;152.1;-12.72;-7.72
PARD3.SA;2019-08-26;22.42;10;224.2;0;True;21.15;211.5;-12.7;-5.66
ELET3.SA;2019-08-26;44.37;3;133.11;0;True;41.7;125.1;-8.01;-6.02
ELET3.SA;2019-09-02;46.05;3;138.15;0;True;41.7;125.1;-13.05;-9.45
SAPR11.SA;2019-09-02;29.36;21;616.56;0;True;20.6;432.6;-183.96;-29.84
SAPR11.SA;2020-12-09;26.5;2;53.0;0;True;20.6;41.2;-11.8;-22.26
IGTA3.SA;2019-09-02;46.16;15;692.4;0;True;43.25;648.75;-43.65;-6.3
BBAS3.SA;2019-09-09;50.19;10;501.9;0;True;33.0;330.0;-171.9;-34.25
PRIO3.SA;2019-09-23;18.44;6;110.64;0;True;17.73;106.38;-4.26;-3.85
VLID3.SA;2019-09-23;13.62;2;27.24;0;True;9.93;19.86;-7.38;-27.09
GRND3.SA;2019-09-23;8.47;13;110.11;0;True;9.46;122.98;12.87;11.69
GRND3.SA;2020-01-13;12.48;20;249.6;0;True;9.46;189.2;-60.4;-24.2
CIEL3.SA;2019-09-23;8.53;5;42.65;0;True;3.93;19.65;-23.0;-53.93
TOTS3.SA;2019-09-23;18.99;12;227.92;0;True;31.76;381.12;153.2;67.22
NTCO3.SA;2019-09-23;35.35;2;70.7;0;True;50.82;101.64;30.94;43.76
SUZB3.SA;2019-09-24;32.88;8;263.04;0;True;63.18;505.44;242.4;92.15
SUZB3.SA;2020-02-19;40.5;3;121.5;0;True;63.18;189.54;68.04;56.0
SUZB3.SA;2020-05-27;38.16;15;572.4;0;True;63.18;947.7;375.3;65.57
SUZB3.SA;2020-06-05;38.31;5;191.55;0;True;63.18;315.9;124.35;64.92
ABEV3.SA;2019-09-26;19.55;11;215.05;0;True;17.54;192.94;-22.11;-10.28
CYRE3.SA;2019-09-27;23.46;9;211.14;0;True;23.2;208.8;-2.34;-1.11
OMGE3.SA;2019-09-30;32.08;7;224.56;0;True;37.14;259.98;35.42;15.77
OMGE3.SA;2020-12-09;38.02;1;38.02;0;True;37.14;37.14;-0.88;-2.31
OMGE3.SA;2020-12-09;38.11;3;114.33;0;True;37.14;111.42;-2.91;-2.55
OMGE3.SA;2020-12-09;37.87;1;37.87;0;True;37.14;37.14;-0.73;-1.93
LINX3.SA;2019-09-30;32.88;5;164.4;0;True;37.28;186.4;22.0;13.38
JBSS3.SA;2019-10-02;31.53;5;157.65;0;True;30.24;151.2;-6.45;-4.09
VULC3.SA;2019-10-07;7.69;4;30.76;0;True;8.5;34.0;3.24;10.53
VULC3.SA;2020-03-27;4.42;66;291.72;0;True;8.5;561.0;269.28;92.31
BRPR3.SA;2019-10-07;11.7;15;175.5;0;True;9.22;138.3;-37.2;-21.2
BRPR3.SA;2020-01-22;15.5;20;310.0;0;True;9.22;184.4;-125.6;-40.52
GGBR4.SA;2019-10-23;13.35;18;240.3;0;True;34.3;617.4;377.1;156.93
