Date;JHSF3.SA;ITUB4.SA;USIM5.SA;VALE3.SA;BBSE3.SA;MOVI3.SA;RENT3.SA;MULT3.SA;TAEE11.SA;SULA11.SA;ENGI11.SA;BRAP4.SA;CRFB3.SA;EMBR3.SA;MYPK3.SA;PCAR3.SA;HAPV3.SA;HYPE3.SA;CPFE3.SA;CSMG3.SA;DTEX3.SA;ECOR3.SA;HGTX3.SA;GUAR3.SA;BRDT3.SA;ELET3.SA;MRFG3.SA;PARD3.SA;SAPR11.SA;IGTA3.SA;CSNA3.SA;BBAS3.SA;OIBR3.SA;PRIO3.SA;TOTS3.SA;NTCO3.SA;VLID3.SA;GRND3.SA;CIEL3.SA;IRBR3.SA;SUZB3.SA;ABEV3.SA;CYRE3.SA;BRKM5.SA;LINX3.SA;OMGE3.SA;JBSS3.SA;VULC3.SA;RADL3.SA;BRPR3.SA;MGLU3.SA;VVAR3.SA;GGBR4.SA;CCRO3.SA;AZUL4.SA;GFSA3.SA;LOGN3.SA;PETR4.SA;BPAN4.SA;DIRR3.SA;COGN3.SA;BPAC11.SA;BRFS3.SA;POMO4.SA;WEGE3.SA;TCSA3.SA;SQIA3.SA;POSI3.SA;LOGG3.SA;LCAM3.SA;LIGT3.SA;ENEV3.SA;CCPR3.SA;CARD3.SA;ANIM3.SA;AMAR3.SA;TRIS3.SA;MRVE3.SA;RAPT4.SA;TIMS3.SA;CAML3.SA;CESP6.SA;MEAL3.SA;SMTO3.SA;JPSA3.SA;CPLE6.SA;CMIG4.SA;UNIP6.SA;RSID3.SA;WIZS3.SA;SLCE3.SA;ODPV3.SA;PSSA3.SA;CPLE3.SA;KEPL3.SA;NEOE3.SA;BEES3.SA;SBFG3.SA;TEND3.SA;LAME4.SA;EQTL3.SA;SHUL4.SA;CVCB3.SA;SMLS3.SA;GOLL4.SA;B3SA3.SA;ITSA4.SA;TIET11.SA;IVVB11.SA;KLBN11.SA;BBDC4.SA;SANB11.SA;BEEF3.SA
2019-02-14;1.82;34.68;9.44;40.86;23.8;10.7;32.12;24.85;20.09;28.87;41.76;24.77;18.5;19.3;20.45;86.84;6.52;27.77;26.47;15.74;11.46;11.14;29.24;17.85;21.33;30.12;5.52;18.96;22.58;41.95;8.9;48.41;1.43;13.5;10.64;;19.37;7.68;10.28;26.86;44.08;17.56;13.79;50.47;28.91;19.52;13.72;7.98;11.58;8.86;5.18;5.45;14.96;12.83;38.6;8.48;9.05;25.23;3.66;7.15;11.46;33.09;22.82;3.59;18.31;12.8;6.8;2.21;17.85;12.6;18.38;4.65;10.15;7.0;6.12;6.49;4.41;12.39;8.46;;6.95;18.37;6.35;17.53;24.93;2.93;11.32;30.92;5.21;5.89;19.5;14.78;53.19;2.75;16.08;;4.46;;17.13;19.38;15.77;3.36;62.4;28.08;28.5;8.58;11.91;9.1;74.25;17.24;28.68;44.61;5.33
2019-02-15;1.94;34.32;9.18;41.05;23.54;10.66;31.92;24.59;20.09;29.15;42.04;24.86;18.62;19.33;20.52;86.84;6.64;27.6;26.2;15.8;11.43;11.07;29.04;17.65;21.08;29.46;5.74;18.59;22.6;41.8;8.91;48.47;1.49;13.5;10.89;;20.07;7.67;9.97;26.61;44.7;17.47;13.62;50.33;28.75;19.49;14.02;7.85;11.53;8.88;4.98;5.28;14.72;12.72;38.5;8.67;9.65;25.13;3.32;7.29;10.75;32.9;22.66;3.59;18.37;13.5;6.86;2.28;17.55;12.61;18.37;4.72;9.95;6.95;6.04;6.35;4.52;12.02;8.5;;6.95;18.08;6.19;17.72;24.93;2.91;11.39;30.82;5.13;5.87;19.37;14.82;52.34;2.73;16.01;;4.54;;17.08;19.0;15.71;3.36;62.03;28.3;28.91;8.57;11.76;8.86;74.25;17.42;28.5;44.38;5.32
2019-02-18;1.94;33.77;9.15;40.49;23.52;10.51;32.02;24.53;20.02;28.87;41.7;24.74;18.56;18.89;20.88;86.84;6.7;27.55;26.16;15.68;11.11;11.17;29.13;17.34;20.34;28.74;5.59;18.44;23.02;41.42;9.04;47.99;1.43;13.49;11.08;;20.06;7.57;9.7;26.77;44.91;17.19;13.86;49.69;28.67;19.4;14.19;7.85;11.35;8.71;5.12;5.47;14.79;12.91;38.88;8.7;9.2;25.05;3.09;7.23;10.67;33.21;22.26;3.63;18.54;13.0;6.85;2.31;12.73;12.92;18.3;4.68;10.11;6.96;5.9;6.32;4.58;12.15;8.79;;6.86;18.37;6.02;18.1;24.92;2.9;11.51;31.09;5.1;5.89;20.02;14.57;52.46;2.73;17.08;;4.5;;16.87;19.23;15.71;3.35;61.35;28.57;28.26;8.48;11.52;8.72;74.25;17.24;27.85;43.65;5.4
2019-02-19;1.99;34.55;9.0;40.7;23.82;10.64;31.91;24.75;20.29;29.1;42.09;24.74;18.72;19.28;20.83;86.84;6.58;27.73;26.31;15.55;11.29;11.25;29.03;17.62;20.2;28.96;5.62;18.68;23.17;41.77;8.93;48.2;1.44;13.56;10.96;;20.12;7.66;9.85;26.89;45.55;17.31;13.72;50.58;27.72;19.73;13.99;7.95;11.67;8.92;5.15;5.28;14.78;13.0;38.66;8.4;9.21;25.64;3.43;7.15;10.91;32.59;22.16;3.69;18.84;13.3;6.91;2.28;17.12;12.9;18.16;4.76;10.16;7.05;6.08;6.46;4.56;12.12;9.0;;6.88;18.33;6.06;18.18;24.93;2.9;11.56;31.59;5.09;6.06;20.19;14.56;52.51;2.7;16.76;;4.29;;16.94;19.32;15.87;3.34;61.3;28.42;28.02;8.7;11.76;8.94;74.25;17.49;28.08;45.01;5.72
2019-02-20;1.89;34.11;9.06;40.98;23.3;10.43;31.35;24.16;20.04;28.53;41.84;24.95;18.86;19.1;20.69;86.84;6.5;27.18;26.08;15.52;11.34;11.01;28.43;17.24;20.06;28.41;5.56;18.49;22.99;41.18;9.26;46.84;1.46;13.8;11.23;;19.45;7.5;10.1;27.08;45.93;17.15;13.72;50.13;27.53;19.9;13.46;7.97;11.46;8.77;4.93;5.21;15.02;12.67;38.15;8.06;9.0;25.32;3.32;7.23;10.5;31.51;22.66;3.65;18.26;13.1;7.07;2.26;17.03;12.66;18.06;4.7;10.15;7.08;5.86;6.26;4.48;11.79;8.66;;6.74;18.29;6.0;17.72;24.92;2.88;11.51;31.48;5.04;5.95;19.04;14.36;51.71;2.68;16.98;;4.27;;16.66;18.87;15.78;3.32;60.68;27.33;28.25;8.63;11.74;8.91;74.25;17.42;27.62;44.1;5.54
2019-02-21;1.82;34.73;9.27;40.61;23.08;10.42;31.75;24.0;19.56;27.77;41.65;24.72;18.9;19.49;20.82;86.84;6.4;26.65;26.32;15.75;11.43;10.99;28.52;17.29;19.74;29.69;5.52;18.4;23.05;41.1;10.13;47.05;1.51;13.86;10.94;;18.96;7.38;9.92;27.69;46.62;17.31;13.58;49.8;25.74;19.72;13.17;7.87;11.62;8.53;4.89;4.67;14.36;12.78;37.49;8.16;8.7;25.65;3.23;7.05;11.05;31.06;22.07;3.65;18.35;12.8;7.11;2.26;17.02;12.6;17.64;4.67;10.16;7.0;5.93;6.07;4.56;11.83;8.87;;6.67;18.64;5.87;17.34;24.92;2.87;11.47;30.96;5.05;5.81;18.92;14.34;51.77;2.66;16.94;;4.26;;16.72;18.72;15.68;3.33;61.3;28.87;27.3;8.58;12.06;8.9;74.25;17.44;27.86;43.72;5.5
2019-02-22;1.94;34.51;9.68;42.05;23.31;10.43;32.38;24.58;19.6;27.62;41.48;25.59;19.11;19.51;20.92;86.84;6.21;25.62;26.38;16.31;11.68;10.95;29.43;17.52;19.99;30.74;5.42;18.64;24.21;41.63;10.9;47.48;1.54;14.26;11.08;;18.88;7.53;10.33;27.27;46.48;17.31;13.99;50.66;26.72;19.4;13.44;7.89;11.69;8.49;5.4;4.72;14.43;12.8;37.9;8.71;9.15;25.4;3.11;7.17;11.26;31.63;22.29;3.67;18.51;13.0;7.16;2.28;17.04;12.65;17.77;4.66;10.54;7.0;6.1;6.5;4.52;11.77;9.0;;6.69;19.19;6.06;17.39;24.93;2.86;11.6;30.71;5.05;5.86;18.64;14.33;52.9;2.65;17.09;;4.28;;15.98;18.92;15.78;3.33;60.22;28.88;27.6;8.8;11.87;8.98;74.25;17.17;27.63;43.53;5.45
2019-02-25;1.87;33.98;9.97;42.16;23.49;10.8;32.54;24.48;19.54;28.17;41.32;25.69;19.47;19.4;21.11;86.84;6.37;25.0;26.29;16.21;11.43;10.95;28.59;17.41;19.7;30.3;5.43;18.37;24.47;41.7;11.51;46.7;1.65;14.29;11.24;;18.93;7.58;10.15;27.3;46.97;17.37;14.08;50.66;27.38;19.4;13.21;7.91;11.63;8.36;5.27;4.97;14.52;12.68;38.2;9.17;9.16;25.0;3.02;7.18;11.1;31.46;22.24;3.7;18.02;12.9;7.33;2.26;16.89;12.66;18.08;4.68;10.16;7.15;6.26;6.24;4.53;11.88;9.07;;6.72;19.43;6.04;17.81;24.92;2.86;11.77;31.12;5.1;5.92;18.38;14.44;52.31;2.67;17.03;;4.31;;16.32;18.53;15.71;3.31;59.83;28.01;27.0;8.87;11.78;8.95;74.25;17.33;27.35;43.01;5.67
2019-02-26;1.87;34.1;9.82;42.23;23.36;11.19;32.78;24.38;19.55;28.21;41.54;25.63;19.56;19.7;20.99;86.84;6.36;24.72;26.03;16.28;11.53;11.0;28.64;17.43;19.81;30.19;5.39;18.49;24.15;41.78;11.59;46.95;1.7;14.18;11.46;;18.84;7.53;10.58;27.37;49.22;17.47;14.04;50.74;28.41;19.34;12.96;8.17;12.01;8.52;5.42;4.77;14.72;12.72;38.5;9.02;8.95;24.89;2.97;7.27;10.89;31.49;21.88;3.73;17.89;12.8;7.43;2.21;16.84;12.5;18.37;4.66;10.16;7.08;6.26;6.15;4.37;11.47;8.99;;6.6;19.35;5.98;17.77;24.87;2.89;11.84;30.98;4.97;5.98;18.16;14.17;51.02;2.68;16.93;;4.35;;16.0;18.76;15.64;3.33;59.4;28.34;27.5;8.98;11.79;9.18;74.25;17.83;27.84;42.92;5.58
2019-02-27;1.99;33.8;9.65;41.9;23.63;11.04;32.32;24.46;19.72;26.97;41.21;25.54;18.63;19.35;20.66;86.84;6.39;25.33;25.71;16.57;11.25;11.2;28.77;17.24;19.78;32.61;5.32;18.97;24.07;40.74;11.14;46.41;1.72;15.24;11.69;;18.87;7.57;10.37;26.28;47.09;17.35;14.41;50.0;27.92;19.24;13.02;8.15;12.91;8.58;5.34;4.64;14.67;13.0;37.9;8.8;8.8;25.35;2.9;7.41;10.96;33.14;21.6;3.74;18.14;13.1;7.47;2.23;16.94;12.28;19.54;4.69;10.16;7.09;6.38;6.38;4.38;11.73;8.87;;6.64;19.75;6.19;17.82;24.5;2.98;12.12;30.78;5.02;6.43;18.24;14.99;50.79;2.72;16.86;;4.31;;15.94;19.29;15.52;3.3;58.7;28.7;27.3;8.84;11.63;9.43;74.25;17.51;27.53;42.33;5.64
